order_id,line_no,order_datetime,order_date,day_of_week,customer_id,customer_name,customer_type,is_chain,is_key_account,province,region_zone,city_area,customer_since,is_new_customer,account_manager,channel,sku_id,product_name,product_category,unit,quantity,unit_price_thb,gross_revenue_thb,discount_thb,promo_code,cogs_thb,gross_margin_thb,gross_margin_pct,payment_terms,payment_status,delivery_status,delivery_date
ORD-0001,1,2026-05-11 21:30,2026-05-11,Monday,CUST-0072,Lay Table Group (Mueang (Korat) Branch),Casual Dining Restaurant,TRUE,Yes,Nakhon Ratchasima,Northeast,Mueang (Korat),2025-03,FALSE,Tanawat Boon,Mobile App,SKU-0139,Frozen Peeled Shrimp,Frozen,pack,3,140,420,0,,342,78,18.6,Net 30,Pending,Delivered,2026-05-12
ORD-0001,2,2026-05-11 21:30,2026-05-11,Monday,CUST-0072,Lay Table Group (Mueang (Korat) Branch),Casual Dining Restaurant,TRUE,Yes,Nakhon Ratchasima,Northeast,Mueang (Korat),2025-03,FALSE,Tanawat Boon,Mobile App,SKU-0072,Tuna Loin (Grade A),Seafood,kg,2,212,424,0,,362,62,14.6,Net 30,Pending,Delivered,2026-05-12
ORD-0001,3,2026-05-11 21:30,2026-05-11,Monday,CUST-0072,Lay Table Group (Mueang (Korat) Branch),Casual Dining Restaurant,TRUE,Yes,Nakhon Ratchasima,Northeast,Mueang (Korat),2025-03,FALSE,Tanawat Boon,Mobile App,SKU-0133,Frozen Spring Rolls (Grade A),Frozen,pack,4,306,1224,0,,1036,188,15.4,Net 30,Pending,Delivered,2026-05-12
ORD-0001,4,2026-05-11 21:30,2026-05-11,Monday,CUST-0072,Lay Table Group (Mueang (Korat) Branch),Casual Dining Restaurant,TRUE,Yes,Nakhon Ratchasima,Northeast,Mueang (Korat),2025-03,FALSE,Tanawat Boon,Mobile App,SKU-0104,Dried Chili (Grade A),Dry Goods & Grocery,bag,23,125,2875,0,,2576,299,10.4,Net 30,Pending,Delivered,2026-05-12
ORD-0002,1,2026-05-16 08:06,2026-05-16,Saturday,CUST-0083,Ruen Soi Eats Group,Street Food / Food Stall,TRUE,Yes,Nonthaburi,Greater Bangkok,Bang Yai,2025-08,FALSE,Arada Phuwadon,LINE,SKU-0063,Chicken Breast,Meat,kg,4,308,1232,115,PROMO8OFF,1064,53,4.7,Net 30,Pending,Delivered,2026-05-17
ORD-0002,2,2026-05-16 08:06,2026-05-16,Saturday,CUST-0083,Ruen Soi Eats Group,Street Food / Food Stall,TRUE,Yes,Nonthaburi,Greater Bangkok,Bang Yai,2025-08,FALSE,Arada Phuwadon,LINE,SKU-0009,Coriander,Fresh Vegetables,kg,10,30,300,0,,230,70,23.3,Net 30,Pending,Delivered,2026-05-17
ORD-0002,3,2026-05-16 08:06,2026-05-16,Saturday,CUST-0083,Ruen Soi Eats Group,Street Food / Food Stall,TRUE,Yes,Nonthaburi,Greater Bangkok,Bang Yai,2025-08,FALSE,Arada Phuwadon,LINE,SKU-0002,Morning Glory,Fresh Vegetables,kg,24,32,768,0,,624,144,18.8,Net 30,Pending,Delivered,2026-05-17
ORD-0002,4,2026-05-16 08:06,2026-05-16,Saturday,CUST-0083,Ruen Soi Eats Group,Street Food / Food Stall,TRUE,Yes,Nonthaburi,Greater Bangkok,Bang Yai,2025-08,FALSE,Arada Phuwadon,LINE,SKU-0107,Jasmine Rice 5kg (Grade A),Dry Goods & Grocery,bag,43,234,10062,0,,8815,1247,12.4,Net 30,Pending,Delivered,2026-05-17
ORD-0003,1,2026-05-11 20:45,2026-05-11,Monday,CUST-0099,Som Tam Brew House Group,Café & Bakery,TRUE,Yes,Chiang Mai,North,Nimman,2025-03,FALSE,Arada Phuwadon,Mobile App,SKU-0097,Jasmine Rice 5kg,Dry Goods & Grocery,bag,10,145,1450,0,,1320,130,9.0,Net 30,Pending,Delivered,2026-05-12
ORD-0003,2,2026-05-11 20:45,2026-05-11,Monday,CUST-0099,Som Tam Brew House Group,Café & Bakery,TRUE,Yes,Chiang Mai,North,Nimman,2025-03,FALSE,Arada Phuwadon,Mobile App,SKU-0012,Thai Eggplant,Fresh Vegetables,kg,20,38,760,0,,600,160,21.1,Net 30,Pending,Delivered,2026-05-12
ORD-0003,3,2026-05-11 20:45,2026-05-11,Monday,CUST-0099,Som Tam Brew House Group,Café & Bakery,TRUE,Yes,Chiang Mai,North,Nimman,2025-03,FALSE,Arada Phuwadon,Mobile App,SKU-0083,Duck Eggs (Grade A),Eggs & Dairy,pack,16,48,768,0,,672,96,12.5,Net 30,Pending,Delivered,2026-05-12
ORD-0003,4,2026-05-11 20:45,2026-05-11,Monday,CUST-0099,Som Tam Brew House Group,Café & Bakery,TRUE,Yes,Chiang Mai,North,Nimman,2025-03,FALSE,Arada Phuwadon,Mobile App,SKU-0105,Peanuts (Premium),Dry Goods & Grocery,bag,43,134,5762,0,,5289,473,8.2,Net 30,Pending,Delivered,2026-05-12
ORD-0003,5,2026-05-11 20:45,2026-05-11,Monday,CUST-0099,Som Tam Brew House Group,Café & Bakery,TRUE,Yes,Chiang Mai,North,Nimman,2025-03,FALSE,Arada Phuwadon,Mobile App,SKU-0107,Jasmine Rice 5kg (Grade A),Dry Goods & Grocery,bag,36,222,7992,603,PROMO12OFF,7380,9,0.1,Net 30,Pending,Delivered,2026-05-12
ORD-0004,1,2026-05-13 12:36,2026-05-13,Wednesday,CUST-0035,Sukhumvit To-Go Group,Quick Service Restaurant (QSR),TRUE,Yes,Bangkok,Greater Bangkok,Phra Khanong,2024-04,FALSE,Tanawat Boon,Sales Rep,SKU-0108,Rice Noodles,Dry Goods & Grocery,bag,6,204,1224,0,,1128,96,7.8,Net 30,Cancelled,Cancelled,2026-05-14
ORD-0004,2,2026-05-13 12:36,2026-05-13,Wednesday,CUST-0035,Sukhumvit To-Go Group,Quick Service Restaurant (QSR),TRUE,Yes,Bangkok,Greater Bangkok,Phra Khanong,2024-04,FALSE,Tanawat Boon,Sales Rep,SKU-0085,Butter,Eggs & Dairy,pack,13,90,1170,0,,988,182,15.6,Net 30,Cancelled,Cancelled,2026-05-14
ORD-0004,3,2026-05-13 12:36,2026-05-13,Wednesday,CUST-0035,Sukhumvit To-Go Group,Quick Service Restaurant (QSR),TRUE,Yes,Bangkok,Greater Bangkok,Phra Khanong,2024-04,FALSE,Tanawat Boon,Sales Rep,SKU-0078,Green Mussels (Premium),Seafood,kg,13,306,3978,0,,3367,611,15.4,Net 30,Cancelled,Cancelled,2026-05-14
ORD-0004,4,2026-05-13 12:36,2026-05-13,Wednesday,CUST-0035,Sukhumvit To-Go Group,Quick Service Restaurant (QSR),TRUE,Yes,Bangkok,Greater Bangkok,Phra Khanong,2024-04,FALSE,Tanawat Boon,Sales Rep,SKU-0034,Thai Basil (Premium),Herbs & Aromatics,kg,4,116,464,28,PROMO12OFF,360,76,17.4,Net 30,Cancelled,Cancelled,2026-05-14
